year,category,laureate_type,full_name,birth_year,birth_city,birth_country,gender,prize,motivation
1901,Chemistry,Individual,Jacobus Henricus van 't Hoff,1852,Rotterdam,Netherlands,Male,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"""
1901,Literature,Individual,Sully Prudhomme,1839,Paris,France,Male,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"""
1901,Medicine,Individual,Emil Adolf von Behring,1854,Hansdorf (Lawice),Prussia (Poland),Male,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"""
1901,Peace,Individual,Jean Henry Dunant,1828,Geneva,Switzerland,Male,The Nobel Peace Prize 1901,NA
1901,Peace,Individual,FrÃ©dÃ©ric Passy,1822,Paris,France,Male,The Nobel Peace Prize 1901,NA
1901,Physics,Individual,Wilhelm Conrad RÃ¶ntgen,1845,Lennep (Remscheid),Prussia (Germany),Male,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"""
1902,Chemistry,Individual,Hermann Emil Fischer,1852,Euskirchen,Prussia (Germany),Male,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses"""
1902,Literature,Individual,Christian Matthias Theodor Mommsen,1817,Garding,Schleswig (Germany),Male,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>"""
1902,Medicine,Individual,Ronald Ross,1857,Almora,India,Male,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
1902,Peace,Individual,Ã‰lie Ducommun,1833,Geneva,Switzerland,Male,The Nobel Peace Prize 1902,NA
1902,Peace,Individual,Charles Albert Gobat,1843,Tramelan,Switzerland,Male,The Nobel Peace Prize 1902,NA
1902,Physics,Individual,Hendrik Antoon Lorentz,1853,Arnhem,Netherlands,Male,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
1902,Physics,Individual,Pieter Zeeman,1865,Zonnemaire,Netherlands,Male,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
1903,Chemistry,Individual,Svante August Arrhenius,1859,Vik,Sweden,Male,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"""
1903,Literature,Individual,BjÃ¸rnstjerne Martinus BjÃ¸rnson,1832,Kvikne,Norway,Male,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"""
1903,Medicine,Individual,Niels Ryberg Finsen,1860,Thorshavn,Faroe Islands (Denmark),Male,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"""
1903,Peace,Individual,William Randal Cremer,1828,Fareham,United Kingdom,Male,The Nobel Peace Prize 1903,NA
1903,Physics,Individual,Antoine Henri Becquerel,1852,Paris,France,Male,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"""
1903,Physics,Individual,Pierre Curie,1859,Paris,France,Male,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
1903,Physics,Individual,"Marie Curie, nÃ©e Sklodowska",1867,Warsaw,Russian Empire (Poland),Female,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
1904,Chemistry,Individual,Sir William Ramsay,1852,Glasgow,Scotland,Male,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"""
1904,Literature,Individual,FrÃ©dÃ©ric Mistral,1830,Maillane,France,Male,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist"""
